distance_km,time_of_day,actual_fare
3.7,night,125.0
2.1,day,85.0
0.7,day,40.0
0.5,night,60.0
2.7,day,80.0
1.5,day,45.0
9.7,day,235.0
1.4,day,40.0
2.6,night,105.0
2.1,day,85.0
1.9,day,70.0
1.4,day,45.0
2.3,day,65.0
4.2,day,115.0
1.1,day,40.0
9.0,day,230.0
0.9,day,50.0
5.5,night,160.0
5.1,day,145.0
1.9,day,65.0
9.3,day,250.0
4.2,day,125.0
5.0,night,135.0
2.9,day,90.0
2.3,night,95.0
4.7,day,130.0
2.9,night,100.0
3.4,day,105.0
2.8,day,85.0
5.5,day,135.0
2.6,day,75.0
5.6,day,165.0
8.5,night,225.0
2.0,night,90.0
2.2,day,55.0
4.8,day,140.0
4.3,day,110.0
2.1,day,65.0
0.9,day,45.0
2.8,day,80.0
2.4,day,70.0
1.1,day,40.0
6.0,night,195.0
4.2,day,120.0
5.6,night,165.0
2.6,night,95.0
1.6,day,65.0
3.0,day,90.0
5.8,night,185.0
0.7,day,50.0
2.7,day,70.0
5.6,day,150.0
9.0,night,240.0
0.8,day,40.0
2.0,day,80.0
3.4,day,100.0
2.8,day,80.0
3.9,day,125.0
2.8,day,70.0
0.8,day,40.0
5.7,night,160.0
5.9,day,150.0
1.4,day,40.0
2.4,day,75.0
5.8,night,170.0
2.0,day,60.0
0.8,night,60.0
5.8,day,155.0
1.2,day,40.0
1.7,day,60.0
7.2,day,170.0
0.7,night,50.0
4.5,day,105.0
8.3,night,235.0
1.0,night,50.0
2.8,day,75.0
8.2,night,230.0
2.6,day,85.0
3.6,night,125.0
4.9,night,150.0
2.8,day,65.0
2.9,day,90.0
5.3,day,140.0
2.9,day,90.0
4.9,day,150.0
3.2,day,85.0
2.7,night,100.0
4.7,day,135.0
2.9,day,95.0
4.4,day,115.0
2.3,day,65.0
1.1,night,50.0
1.3,night,50.0
5.3,day,130.0
1.8,night,80.0
1.1,day,40.0
1.0,day,40.0
5.4,day,135.0
3.3,day,100.0
5.7,day,145.0
5.1,day,135.0
4.6,day,120.0
1.3,day,40.0
0.8,night,50.0
3.0,day,100.0
0.7,day,40.0
2.0,night,90.0
1.0,night,50.0
0.8,day,45.0
2.4,day,85.0
2.6,day,85.0
2.5,day,70.0
3.9,day,105.0
2.5,day,75.0
2.4,day,70.0
1.2,day,40.0
2.8,day,80.0
0.9,day,40.0
3.8,night,125.0
2.4,night,95.0
6.0,day,155.0
0.5,day,45.0
1.2,day,40.0
4.6,night,150.0
5.6,day,160.0
1.9,day,50.0
1.5,day,40.0
7.6,day,200.0
2.1,night,90.0
2.5,day,75.0
1.9,night,90.0
3.4,day,100.0
2.4,day,85.0
1.1,night,55.0
3.0,night,105.0
1.3,day,50.0
3.4,day,95.0
5.7,day,150.0
4.2,night,130.0
2.4,day,75.0
0.6,night,50.0
2.9,day,85.0
1.4,day,50.0
9.6,day,245.0
2.6,night,85.0
0.7,night,50.0
4.4,night,135.0
4.2,night,130.0
5.6,day,155.0
9.4,night,245.0
1.9,night,90.0
3.0,day,85.0
5.1,day,145.0
2.4,day,65.0
5.9,night,160.0
1.8,night,70.0
2.6,day,75.0
1.6,day,60.0
3.3,day,105.0
3.6,day,95.0
1.1,day,40.0
5.3,day,130.0
3.4,night,115.0
4.2,night,150.0
1.3,day,45.0
1.1,night,50.0
7.7,day,180.0
3.6,day,85.0
0.8,day,50.0
6.3,day,160.0
0.5,day,40.0
3.0,day,90.0
1.5,day,45.0
3.1,day,95.0
0.9,night,50.0
2.5,night,115.0
2.2,day,70.0
8.0,day,190.0
5.8,night,165.0
3.8,day,125.0
1.9,day,60.0
3.0,night,110.0
1.3,day,40.0
2.5,night,115.0
0.6,day,40.0
2.2,day,75.0
5.4,day,155.0
1.6,night,65.0
0.5,night,55.0
3.5,day,90.0
2.5,day,75.0
3.6,night,115.0
2.4,night,95.0
1.1,day,45.0
5.0,day,125.0
2.3,day,60.0
0.8,night,55.0
4.2,day,115.0
3.2,night,110.0
0.8,day,50.0
